동별,구분별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
가리봉동,외국인주민 자녀(출생),외국인주민 총괄(동별),,106,113,92,95,83,82,82
구로2동,합계,외국인주민 총괄(동별),,"12,977","13,558","14,361","15,738","15,828","15,889","15,249"
구로2동,외국인근로자,외국인주민 총괄(동별),,"4,745","4,183","3,514","4,525","4,287","3,480","2,565"
구로2동,결혼이민자,외국인주민 총괄(동별),,546,817,722,742,772,580,558
구로2동,유학생,외국인주민 총괄(동별),,35,35,34,39,46,58,67
구로2동,외국국적동포,외국인주민 총괄(동별),,"3,001","3,351","3,990","4,309","4,264","4,981","5,589"
구로2동,기타외국인,외국인주민 총괄(동별),,"2,839","3,324","4,203","4,152","4,463","4,771","4,393"
구로2동,한국국적을 취득한 자,외국인주민 총괄(동별),,"1,508","1,515","1,587","1,649","1,675","1,714","1,772"
구로2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,303,333,311,322,321,305,305
개봉1동,합계,외국인주민 총괄(동별),,"1,467","1,622","1,763","2,028","2,099","2,092","1,949"
개봉1동,외국인근로자,외국인주민 총괄(동별),,408,364,292,389,368,269,189
개봉1동,결혼이민자,외국인주민 총괄(동별),,124,152,138,151,166,156,151
개봉1동,유학생,외국인주민 총괄(동별),,12,51,69,100,66,62,58
개봉1동,외국국적동포,외국인주민 총괄(동별),,309,368,471,547,563,637,625
개봉1동,기타외국인,외국인주민 총괄(동별),,300,351,424,407,477,467,385
개봉1동,한국국적을 취득한 자,외국인주민 총괄(동별),,204,221,246,289,291,324,353
개봉1동,외국인주민 자녀(출생),외국인주민 총괄(동별),,110,115,123,145,168,177,188
오류2동,합계,외국인주민 총괄(동별),,,,,,,"1,795","1,707"
오류2동,외국인근로자,외국인주민 총괄(동별),,,,,,,155,115
오류2동,결혼이민자,외국인주민 총괄(동별),,,,,,,168,150
오류2동,유학생,외국인주민 총괄(동별),,,,,,,6,5
오류2동,외국국적동포,외국인주민 총괄(동별),,,,,,,441,444
오류2동,기타외국인,외국인주민 총괄(동별),,,,,,,302,279
오류2동,한국국적을 취득한 자,외국인주민 총괄(동별),,,,,,,455,455
오류2동,외국인주민 자녀(출생),외국인주민 총괄(동별),,,,,,,268,259
항동,합계,외국인주민 총괄(동별),,,,,,,421,430
항동,외국인근로자,외국인주민 총괄(동별),,,,,,,8,7
항동,결혼이민자,외국인주민 총괄(동별),,,,,,,67,68
항동,유학생,외국인주민 총괄(동별),,,,,,,15,17
항동,외국국적동포,외국인주민 총괄(동별),,,,,,,34,24
항동,기타외국인,외국인주민 총괄(동별),,,,,,,63,48
항동,한국국적을 취득한 자,외국인주민 총괄(동별),,,,,,,116,130
항동,외국인주민 자녀(출생),외국인주민 총괄(동별),,,,,,,118,136
금천구,합계,외국인주민 총괄(동별),,"29,304","29,660","30,317","32,556","32,851","32,619","30,878"
금천구,외국인근로자,외국인주민 총괄(동별),,"11,247","9,596","7,647","9,355","8,895","7,174","5,166"
금천구,결혼이민자,외국인주민 총괄(동별),,"1,487","2,113","1,913","2,005","2,105","1,748","1,717"
금천구,유학생,외국인주민 총괄(동별),,99,133,131,149,149,209,255
금천구,외국국적동포,외국인주민 총괄(동별),,"6,604","7,307","8,824","9,397","9,258","10,688","11,248"
금천구,기타외국인,외국인주민 총괄(동별),,"5,355","5,880","6,928","6,618","7,147","7,297","6,821"
금천구,한국국적을 취득한 자,외국인주민 총괄(동별),,"3,316","3,405","3,634","3,728","3,847","4,058","4,151"
금천구,외국인주민 자녀(출생),외국인주민 총괄(동별),,"1,196","1,226","1,240","1,304","1,450","1,445","1,520"
가산동,합계,외국인주민 총괄(동별),,"5,757","5,666","5,232","5,546","5,433","5,316","4,979"
가산동,외국인근로자,외국인주민 총괄(동별),,"2,608","2,315","1,688","1,951","1,841","1,510","1,139"
가산동,결혼이민자,외국인주민 총괄(동별),,175,267,219,224,225,183,176
